position,type,subtype,variable,description
1,Behavior,Spending,Revenue,Mean monthly revenue
2,Behavior,Usage,Mou,Mean monthly minutes of use
3,Behavior,Spending,Recchrge,Mean total recurring charge
4,Behavior,Usage,Directas,Mean number of director assisted calls
5,Behavior,Usage,Overage,Mean overage minutes of use
6,Behavior,Usage,Roam,Mean number of roaming calls
7,Behavior,Usage,Changem,% Change in minutes of use
8,Behavior,Usage,Changer,% Change in revenues
9,Behavior,Usage,Dropvce,Mean number of dropped voice calls
10,Behavior,Usage,Blckvce,Mean number of blocked voice calls
11,Behavior,Usage,Unansvce,Mean number of unanswered voice calls
12,Marketing,Marketing,Custcare,Mean number of customer care calls
13,Behavior,Usage,Threeway,Mean number of threeway calls
14,Behavior,Usage,Mourec,Mean unrounded mou received voice calls
15,Behavior,Usage,Outcalls,Mean number of outbound voice calls
16,Behavior,Usage,Incalls,Mean number of inbound voice calls
17,Behavior,Usage,Peakvce,Mean number of in and out peak voice calls
18,Behavior,Usage,Opeakvce,Mean number of in and out off-peak voice calls
19,Behavior,Usage,Dropblk,Mean number of dropped or blocked calls
20,Behavior,Usage,Callfwdv,Mean number of call forwarding calls
21,Behavior,Usage,Callwait,Mean number of call waiting calls
22,Behavior,Tenure,Months,Months in Service
23,Behavior,Tenure,Uniqsubs,Number of Uniq Subs
24,Behavior,Tenure,Actvsubs,Number of Active Subs
25,Demographics,Location,Csa,Communications Service Area
26,Behavior,Handset,Phones,# Handsets Issued
27,Behavior,Handset,Models,# Models Issued
28,Behavior,Handset,Eqpdays,Number of days of the current equipment
29,Demographics,Household,Customer,Customer ID
30,Demographics,Household,Age1,Age of first HH member
31,Demographics,Household,Age2,Age of second HH member
32,Demographics,Household,Children,Presence of children in HH
33,Demographics,Financial,Credita,Highest credit rating - a
34,Demographics,Financial,Creditaa,High credit rating - aa
35,Demographics,Financial,Creditb,Good credit rating - b
36,Demographics,Financial,Creditc,Medium credit rating - c
37,Demographics,Financial,Creditde,Low credit rating - de
38,Demographics,Financial,Creditgy,Very low credit rating - gy
39,Demographics,Financial,Creditz,Lowest credit rating - z
40,Demographics,Location,Prizmrur,Prizm code is rural
41,Demographics,Location,Prizmub,Prizm code is suburban
42,Demographics,Location,Prizmtwn,Prizm code is town
43,Behavior,Handset,Refurb,Handset is refurbished
44,Behavior,Handset,Webcap,Hanset is web capable
45,Demographics,Household,Truck,Subscriber owns a truck
46,Demographics,Household,Rv,Subscriber owns a recreational vehicle
47,Demographics,Financial,Occprof,Occupation - professional
48,Demographics,Financial,Occcler,Occupation - clerical
49,Demographics,Financial,Occcrft,Occupation - crafts
50,Demographics,Financial,Occstud,Occupation - student
51,Demographics,Financial,Occhmkr,Occupation - homemaker
52,Demographics,Financial,Occret,Occupation - retired
53,Demographics,Financial,Occself,Occupation - self-employed
54,Demographics,Household,Ownrent,Home ownership is missing
55,Demographics,Household,Marryun,Marital status unknown
56,Demographics,Household,Marryyes,Married
57,Demographics,Household,Marryno,Not Married
58,Marketing,Marketing,Mailord,Buys via mail order
59,Marketing,Marketing,Mailres,Responds to mail offers
60,Marketing,Marketing,Mailflag,Has chosen not to be solicited by mail
61,Demographics,Household,Travel,Has traveled to non-US country
62,Demographics,Household,Pcown,Owns a personal computer
63,Demographics,Household,Creditcd,Possesses a credit card
64,Marketing,Marketing,Retcalls,Number of calls previously made to retention team
65,Marketing,Marketing,Retaccpt,Number of previous retention offers accepted
66,Demographics,Household,Newcelly,Known to be a new cell phone user
67,Demographics,Household,Newcelln,Known not to be a new cell phone user
68,Marketing,Marketing,Refer,Number of referrals made by subscriber
69,Demographics,Financial,Incmiss,Income data is missing
70,Demographics,Financial,Income,Income (0=>missing)
71,Demographics,Household,Mcycle,Owns a motorcycle
72,Demographics,Household,Creditad,Number of adjustments made to customer credit rating 
73,Behavior,Spending,Setprcm,Missing data on handset price
74,Behavior,Spending,Setprc,Handset price (0=>missing)
75,Marketing,Marketing,Retcall,Customer has made call to retention team
76,Marketing,Marketing,Churn,"Has the customer churned during month (1=Yes, 0=No)"
77,Marketing,Marketing,Sample,Validation sample
